Code,SA4_Label,Year,population_total,population_density,population_males,population_females,median_age_males,median_age_females,median_age_persons,working_age_population,working_age_population_pct,GCCSA,State
315,Queensland - Outback,2023,82142,0.1,42620,39538,34.8,34.4,34.6,53629,0.653,3RQLD Rest of QLD,QLD
316,Sunshine Coast,2019,385991,125.1,187010,198981,42.6,44.7,43.7,236074,0.612,3RQLD Rest of QLD,QLD
316,Sunshine Coast,2020,395051,128.0,191230,203821,42.9,45.0,44.0,240840,0.61,3RQLD Rest of QLD,QLD
316,Sunshine Coast,2021,403508,130.8,195288,208220,43.2,45.3,44.3,244755,0.607,3RQLD Rest of QLD,QLD
316,Sunshine Coast,2022,413240,133.9,199985,213255,43.2,45.3,44.3,249709,0.604,3RQLD Rest of QLD,QLD
316,Sunshine Coast,2023,424307,137.5,205136,219173,43.0,45.1,44.1,257004,0.606,3RQLD Rest of QLD,QLD
317,Toowoomba,2019,160330,71.0,77578,82752,35.5,38.2,36.9,100215,0.625,3RQLD Rest of QLD,QLD
317,Toowoomba,2020,162360,71.9,78599,83761,35.8,38.5,37.2,101065,0.622,3RQLD Rest of QLD,QLD
317,Toowoomba,2021,164082,72.6,79532,84550,36.1,38.8,37.5,101790,0.62,3RQLD Rest of QLD,QLD
317,Toowoomba,2022,167199,74.0,81050,86149,36.5,39.1,37.8,103465,0.619,3RQLD Rest of QLD,QLD
317,Toowoomba,2023,170781,75.6,82736,88056,36.4,39.1,37.8,105860,0.62,3RQLD Rest of QLD,QLD
318,Townsville,2019,235745,2.9,118564,117181,35.3,36.9,36.1,155126,0.6579999999999999,3RQLD Rest of QLD,QLD
318,Townsville,2020,236652,3.0,118921,117731,35.7,37.4,36.6,155105,0.655,3RQLD Rest of QLD,QLD
318,Townsville,2021,237383,3.0,119364,118019,36.3,38.0,37.2,155004,0.653,3RQLD Rest of QLD,QLD
318,Townsville,2022,240261,3.0,120793,119468,36.3,38.3,37.4,156476,0.6509999999999999,3RQLD Rest of QLD,QLD
318,Townsville,2023,243772,3.0,122600,121198,36.4,38.5,37.5,158776,0.6509999999999999,3RQLD Rest of QLD,QLD
319,Wide Bay,2019,302732,6.2,150052,152680,46.8,47.9,47.4,174499,0.5760000000000001,3RQLD Rest of QLD,QLD
319,Wide Bay,2020,306220,6.3,151615,154605,47.4,48.6,48.0,175421,0.573,3RQLD Rest of QLD,QLD
319,Wide Bay,2021,310692,6.4,153923,156769,48.2,49.4,48.8,176542,0.568,3RQLD Rest of QLD,QLD
319,Wide Bay,2022,317474,6.5,157091,160383,48.6,49.7,49.2,179485,0.565,3RQLD Rest of QLD,QLD
319,Wide Bay,2023,324169,6.7,160050,164128,48.7,49.9,49.3,183209,0.565,3RQLD Rest of QLD,QLD
401,Adelaide - Central and Hills,2019,309216,206.5,150292,158924,38.9,41.5,40.3,200817,0.649,4GADE Greater Adelaide,SA
401,Adelaide - Central and Hills,2020,314251,209.9,152476,161775,39.1,41.7,40.4,203225,0.647,4GADE Greater Adelaide,SA
401,Adelaide - Central and Hills,2021,315729,210.9,153228,162501,39.4,42.0,40.7,203000,0.643,4GADE Greater Adelaide,SA
401,Adelaide - Central and Hills,2022,319458,213.4,155150,164308,39.4,42.0,40.7,205414,0.643,4GADE Greater Adelaide,SA
401,Adelaide - Central and Hills,2023,327714,218.9,159477,167965,39.0,41.7,40.3,211810,0.647,4GADE Greater Adelaide,SA
402,Adelaide - North,2019,449269,477.9,223300,225969,35.4,37.1,36.2,293298,0.653,4GADE Greater Adelaide,SA
402,Adelaide - North,2020,456767,485.9,226858,229909,35.6,37.4,36.5,297261,0.6509999999999999,4GADE Greater Adelaide,SA
402,Adelaide - North,2021,461134,490.6,228995,232139,35.8,37.7,36.8,298890,0.648,4GADE Greater Adelaide,SA
402,Adelaide - North,2022,467355,497.2,232135,235220,35.9,37.9,36.9,302677,0.648,4GADE Greater Adelaide,SA
402,Adelaide - North,2023,476257,506.7,236641,239497,35.9,37.9,36.9,308968,0.649,4GADE Greater Adelaide,SA
403,Adelaide - South,2019,371846,560.8,180571,191275,39.4,41.9,40.7,236112,0.635,4GADE Greater Adelaide,SA
403,Adelaide - South,2020,375882,566.9,182286,193596,39.7,42.2,41.0,237462,0.632,4GADE Greater Adelaide,SA
403,Adelaide - South,2021,377999,570.1,183250,194749,40.1,42.6,41.4,237633,0.629,4GADE Greater Adelaide,SA
403,Adelaide - South,2022,381354,575.1,184838,196516,40.1,42.6,41.4,238901,0.626,4GADE Greater Adelaide,SA
403,Adelaide - South,2023,387521,584.4,187840,199547,39.9,42.5,41.2,242897,0.627,4GADE Greater Adelaide,SA
404,Adelaide - West,2019,242083,1517.4,118606,123477,38.4,40.9,39.6,161030,0.665,4GADE Greater Adelaide,SA
404,Adelaide - West,2020,245855,1541.0,120179,125676,38.5,41.0,39.7,163449,0.665,4GADE Greater Adelaide,SA
404,Adelaide - West,2021,247010,1548.3,120750,126260,38.7,41.1,39.9,163842,0.6629999999999999,4GADE Greater Adelaide,SA
404,Adelaide - West,2022,250156,1568.0,122103,128053,38.6,41.1,39.8,165809,0.6629999999999999,4GADE Greater Adelaide,SA
404,Adelaide - West,2023,255546,1601.8,124557,130856,38.4,40.8,39.6,169700,0.664,4GADE Greater Adelaide,SA
405,Barossa - Yorke - Mid North,2019,115225,3.1,58226,56999,46.7,47.8,47.3,67731,0.588,4RSAU Rest of SA,SA
405,Barossa - Yorke - Mid North,2020,115960,3.1,58756,57204,47.1,48.3,47.8,67564,0.583,4RSAU Rest of SA,SA
405,Barossa - Yorke - Mid North,2021,116947,3.1,59421,57526,47.6,48.8,48.2,67472,0.5770000000000001,4RSAU Rest of SA,SA
405,Barossa - Yorke - Mid North,2022,117742,3.1,59795,57947,48.0,49.1,48.6,67400,0.5720000000000001,4RSAU Rest of SA,SA
405,Barossa - Yorke - Mid North,2023,118756,3.1,60339,58417,48.1,49.2,48.7,67719,0.57,4RSAU Rest of SA,SA
